# Residuals   
# Time        	p             	Ux            	Uy            
0             	N/A	N/A
0.0119048     	1.000000e+00	1.000000e+00	1.000000e+00
0.0258503     	1.388193e-01	5.023617e-01	2.945326e-01
0.0422003     	1.062273e-01	4.053441e-01	2.112467e-01
0.0612753     	2.362213e-01	8.803560e-02	3.603934e-02
0.0832115     	1.932252e-01	1.876005e-02	8.621376e-03
0.109261      	9.799244e-02	6.636764e-03	4.930744e-03
0.139318      	6.974119e-02	4.583068e-03	3.558234e-03
0.175386      	4.368715e-02	4.264204e-03	2.864593e-03
0.215963      	2.753483e-02	3.734003e-03	2.643946e-03
0.263302      	2.404639e-02	3.632444e-03	2.435191e-03
0.310642      	1.988760e-02	3.053519e-03	2.037853e-03
0.357981      	1.703175e-02	2.711780e-03	1.747079e-03
0.405321      	1.472292e-02	2.411662e-03	1.558443e-03
0.45266       	1.266575e-02	2.194122e-03	1.403577e-03
0.5           	4.321689e-02	2.225298e-03	4.773656e-03
0.555556      	6.458508e-02	5.519931e-03	7.691620e-03
0.619048      	5.631604e-02	6.333242e-03	1.098754e-02
0.695238      	7.147345e-02	1.036139e-02	1.491874e-02
0.771429      	8.244349e-02	1.070479e-02	2.200123e-02
0.847619      	9.322636e-02	1.752872e-02	2.467302e-02
0.92381       	6.668148e-02	1.710201e-02	2.561709e-02
1             	6.138055e-02	1.957494e-02	2.656533e-02
1.08333       	4.613345e-02	2.164898e-02	2.490724e-02
1.16667       	6.351885e-02	1.918292e-02	3.112413e-02
1.25          	6.318802e-02	2.523980e-02	3.178043e-02
1.33333       	4.962095e-02	2.372927e-02	3.156602e-02
1.41667       	5.085317e-02	2.533043e-02	3.123398e-02
1.5           	4.652735e-02	2.477828e-02	3.077581e-02
1.6           	4.550784e-02	2.999329e-02	2.160833e-02
1.7           	9.625378e-02	1.905277e-02	3.840634e-02
1.8           	1.038234e-01	3.396342e-02	3.691728e-02
1.9           	7.013388e-02	2.746930e-02	3.492225e-02
2             	6.654108e-02	3.055129e-02	3.339658e-02
2.1           	5.963110e-02	2.749540e-02	3.161508e-02
2.2           	5.253420e-02	2.841549e-02	3.020823e-02
2.3           	5.261051e-02	2.650989e-02	2.874580e-02
2.4           	5.831438e-02	2.600194e-02	2.796525e-02
2.5           	6.128885e-02	2.526953e-02	2.700926e-02
2.6           	5.946831e-02	2.495875e-02	2.630469e-02
2.7           	6.964103e-02	2.394075e-02	2.543455e-02
2.8           	7.202475e-02	2.307156e-02	2.469104e-02
2.9           	6.170753e-02	2.229411e-02	2.499557e-02
3             	7.718207e-02	2.235161e-02	2.652439e-02
3.1           	6.925274e-02	2.325332e-02	2.730631e-02
3.2           	7.253955e-02	2.397108e-02	2.839099e-02
3.3           	7.019934e-02	2.481813e-02	2.936185e-02
3.4           	6.275738e-02	2.529137e-02	2.937681e-02
3.45          	2.176240e-01	1.244291e-02	5.135948e-02
3.5           	1.589878e-01	3.833972e-02	2.742789e-02
3.55556       	1.199004e-01	1.830936e-02	1.968376e-02
3.61905       	6.175800e-02	1.963037e-02	1.885576e-02
3.68254       	5.761185e-02	1.662211e-02	2.028834e-02
3.74603       	5.377187e-02	1.991473e-02	2.013463e-02
3.80952       	3.950492e-02	1.900265e-02	1.889402e-02
3.87302       	4.066866e-02	1.876954e-02	1.864004e-02
3.93651       	3.970931e-02	1.812584e-02	1.791519e-02
4             	3.973361e-02	1.750907e-02	1.722683e-02
4.0625        	4.352406e-02	1.661156e-02	1.714054e-02
4.125         	3.222626e-02	1.654548e-02	1.582559e-02
4.1875        	3.874330e-02	1.575282e-02	1.524672e-02
4.23958       	8.233537e-02	1.258045e-02	1.794507e-02
4.29167       	4.756320e-02	1.655046e-02	1.343167e-02
4.34375       	3.915492e-02	1.272084e-02	1.277006e-02
4.39583       	3.080124e-02	1.264764e-02	1.182205e-02
4.44792       	3.158310e-02	1.228647e-02	1.171709e-02
4.5           	3.870322e-02	1.210605e-02	1.152174e-02
4.54545       	6.956150e-02	1.008794e-02	1.256394e-02
4.59091       	4.148803e-02	1.225276e-02	1.053766e-02
4.63636       	3.232412e-02	1.038042e-02	1.010646e-02
4.67677       	5.583311e-02	8.937723e-03	1.018853e-02
