# Residuals   
# Time        	p             	Ux            	Uy            
0             	N/A	N/A
0.0119048     	1.000000e+00	1.000000e+00	1.000000e+00
0.0258503     	3.165313e-01	5.326882e-01	4.070940e-01
0.0422003     	1.183082e-01	4.455770e-01	3.218981e-01
0.0612753     	3.542113e-01	1.947596e-01	1.342704e-01
0.0832115     	4.593579e-01	1.444581e-01	8.981131e-02
0.109261      	2.858669e-01	1.090920e-01	7.160083e-02
0.139318      	3.760342e-01	1.057831e-01	6.904146e-02
0.175386      	2.954555e-01	1.172767e-01	7.729822e-02
0.215963      	3.586555e-01	1.510728e-01	9.905148e-02
0.256539      	3.376401e-01	1.940245e-01	1.309385e-01
0.297116      	3.908344e-01	2.412640e-01	1.652769e-01
0.337693      	3.937034e-01	3.215975e-01	2.290285e-01
0.37827       	4.256246e-01	3.671222e-01	2.753952e-01
0.418846      	4.405238e-01	4.878277e-01	3.820129e-01
0.459423      	4.561385e-01	5.054060e-01	4.204044e-01
0.5           	4.725114e-01	6.294683e-01	5.451239e-01
0.545455      	4.785757e-01	6.357851e-01	5.714438e-01
0.586777      	4.957447e-01	7.034199e-01	6.519569e-01
0.628099      	5.091123e-01	6.933485e-01	6.390513e-01
0.665289      	5.163908e-01	7.090478e-01	6.865409e-01
0.693182      	5.535191e-01	6.779825e-01	6.136808e-01
0.715097      	5.540169e-01	6.528161e-01	6.441974e-01
0.732904      	5.696704e-01	5.901228e-01	5.005733e-01
0.751982      	5.615306e-01	5.353966e-01	4.960358e-01
0.769698      	5.238017e-01	4.733688e-01	3.652991e-01
0.78889       	5.658601e-01	3.743600e-01	3.535653e-01
0.810001      	5.396783e-01	3.794974e-01	2.751935e-01
0.831112      	5.812408e-01	2.860387e-01	2.779544e-01
0.852223      	5.927232e-01	3.039832e-01	2.190419e-01
0.873334      	6.057801e-01	2.195323e-01	2.165989e-01
0.894445      	6.463079e-01	2.403456e-01	1.752625e-01
0.915556      	5.912647e-01	1.720048e-01	1.692700e-01
0.936667      	6.923496e-01	1.881869e-01	1.400327e-01
0.957778      	6.278442e-01	1.350368e-01	1.331338e-01
0.978889      	7.373868e-01	1.467660e-01	1.114059e-01
1             	6.666137e-01	1.071583e-01	1.034301e-01
1.02381       	7.739346e-01	1.237618e-01	9.567140e-02
1.05026       	6.993444e-01	1.120595e-01	1.050433e-01
1.07837       	8.422764e-01	1.419264e-01	1.142461e-01
1.10849       	7.692176e-01	1.469545e-01	1.354110e-01
1.14112       	8.777733e-01	1.949717e-01	1.636042e-01
1.17374       	8.331116e-01	2.153035e-01	1.963947e-01
1.20637       	8.676077e-01	2.644577e-01	2.304040e-01
1.23899       	7.848490e-01	2.876524e-01	2.656776e-01
1.26799       	8.595652e-01	3.105624e-01	2.775971e-01
1.29699       	7.928515e-01	3.062288e-01	2.840840e-01
1.32237       	8.543668e-01	2.930339e-01	2.615999e-01
1.34775       	9.093465e-01	2.581585e-01	2.333271e-01
1.3695        	9.196249e-01	2.214544e-01	1.917042e-01
1.39125       	8.557519e-01	1.748334e-01	1.536178e-01
1.413         	8.686602e-01	1.515929e-01	1.273655e-01
1.43475       	8.251993e-01	1.252447e-01	1.069293e-01
1.4565        	8.401902e-01	1.112749e-01	9.173878e-02
1.47825       	7.980548e-01	9.308864e-02	7.769284e-02
1.5           	8.165414e-01	8.158957e-02	6.619688e-02
1.52381       	7.531832e-01	7.285801e-02	5.967679e-02
1.55026       	7.859692e-01	7.422592e-02	5.961974e-02
1.57672       	7.507136e-01	7.328567e-02	5.977195e-02
1.60317       	7.799119e-01	7.416799e-02	5.954685e-02
1.62963       	7.507898e-01	7.227133e-02	5.847110e-02
1.65432       	7.656071e-01	6.784217e-02	5.441719e-02
1.67901       	7.267297e-01	6.173521e-02	4.924257e-02
1.7037        	7.231301e-01	5.660617e-02	4.467228e-02
1.7284        	6.855436e-01	5.105079e-02	4.017733e-02
1.75309       	6.718881e-01	4.643343e-02	3.613983e-02
1.77778       	6.361901e-01	4.156353e-02	3.225979e-02
1.80247       	6.132089e-01	3.739003e-02	2.873769e-02
1.82716       	5.751858e-01	3.325019e-02	2.545466e-02
1.85185       	5.452691e-01	2.967408e-02	2.248425e-02
1.87654       	5.055005e-01	2.627993e-02	1.980276e-02
1.90123       	4.694882e-01	2.334600e-02	1.744558e-02
1.92593       	4.288189e-01	2.066132e-02	1.532430e-02
1.95062       	3.904771e-01	1.835452e-02	1.346629e-02
1.97531       	3.499839e-01	1.628314e-02	1.184365e-02
2             	3.118160e-01	1.451295e-02	1.048322e-02
2.02381       	2.747599e-01	1.257429e-02	9.219146e-03
2.04762       	2.318196e-01	1.129456e-02	7.915764e-03
2.07143       	1.959318e-01	9.954209e-03	7.188286e-03
2.09524       	1.606282e-01	9.051202e-03	6.535510e-03
2.11905       	1.315597e-01	8.332306e-03	6.081800e-03
