# Residuals   
# Time        	p             	Ux            	Uy            
25            	N/A	N/A
25.0089       	1.642201e-01	1.693943e-03	2.379522e-03
25.0188       	1.252396e-01	2.632589e-03	2.757654e-03
25.0286       	2.958094e-02	1.692619e-03	1.744744e-03
25.0384       	2.077736e-02	1.643553e-03	1.534332e-03
25.048        	2.002148e-02	1.595206e-03	1.537225e-03
25.0576       	1.567937e-02	1.613038e-03	1.439849e-03
25.0672       	1.456603e-02	1.597718e-03	1.462886e-03
25.0769       	1.377264e-02	1.604530e-03	1.408471e-03
25.0865       	1.393236e-02	1.597902e-03	1.444766e-03
25.0961       	1.463482e-02	1.589208e-03	1.398320e-03
25.1055       	1.568249e-02	1.549651e-03	1.368079e-03
25.1149       	1.511766e-02	1.554569e-03	1.366145e-03
25.1243       	1.676747e-02	1.555675e-03	1.344608e-03
25.1334       	1.571305e-02	1.524132e-03	1.314216e-03
25.1426       	1.565806e-02	1.524182e-03	1.341095e-03
25.1518       	1.457789e-02	1.504227e-03	1.320640e-03
25.1609       	1.468461e-02	1.496685e-03	1.316624e-03
25.1701       	1.436273e-02	1.484391e-03	1.307353e-03
25.1793       	1.355035e-02	1.482190e-03	1.296930e-03
25.1884       	1.285558e-02	1.466630e-03	1.286794e-03
25.1976       	1.382235e-02	1.463551e-03	1.279634e-03
25.2067       	1.314865e-02	1.455439e-03	1.268426e-03
25.2159       	1.350376e-02	1.450695e-03	1.351647e-03
25.2251       	1.587944e-02	1.468256e-03	1.358681e-03
25.2342       	1.419046e-02	1.464334e-03	1.389030e-03
25.2434       	1.405782e-02	1.464388e-03	1.424898e-03
25.2529       	1.906041e-02	1.505940e-03	1.385252e-03
25.2624       	1.648929e-02	1.504410e-03	1.358837e-03
25.2719       	1.417331e-02	1.489883e-03	1.307764e-03
25.2814       	1.388912e-02	1.488734e-03	1.323603e-03
25.2909       	1.361852e-02	1.480583e-03	1.281620e-03
25.3004       	1.379523e-02	1.473088e-03	1.284106e-03
25.3099       	1.418497e-02	1.483542e-03	1.279405e-03
25.3194       	1.459865e-02	1.466941e-03	1.266173e-03
25.3289       	1.401480e-02	1.465781e-03	1.258778e-03
25.3384       	1.415185e-02	1.468539e-03	1.266943e-03
25.3479       	1.475425e-02	1.470391e-03	1.327215e-03
25.3574       	1.463150e-02	1.479269e-03	1.337675e-03
