# Residuals   
# Time        	p             	Ux            	Uy            
44.5          	N/A	N/A
44.5098       	1.395493e-01	1.589861e-03	1.870412e-03
44.5196       	1.133098e-01	2.140097e-03	1.991859e-03
44.5294       	2.259429e-02	1.582127e-03	1.112883e-03
44.5392       	1.986181e-02	1.491198e-03	1.151521e-03
44.549        	1.546911e-02	1.461001e-03	1.085915e-03
44.5588       	1.484517e-02	1.452024e-03	1.084588e-03
44.5686       	1.405600e-02	1.444907e-03	1.059896e-03
44.5782       	1.568686e-02	1.410942e-03	1.036156e-03
44.5878       	1.703332e-02	1.443007e-03	1.081430e-03
44.5974       	1.501085e-02	1.433496e-03	1.020397e-03
44.607        	1.432943e-02	1.432285e-03	1.066085e-03
44.6166       	1.471016e-02	1.434822e-03	1.044675e-03
44.6261       	1.360762e-02	1.432938e-03	1.056451e-03
44.6357       	1.470038e-02	1.447530e-03	1.058823e-03
44.6453       	1.444241e-02	1.434002e-03	1.080585e-03
44.6549       	1.359188e-02	1.432020e-03	1.064257e-03
44.6645       	1.363608e-02	1.432039e-03	1.058966e-03
44.6741       	1.377121e-02	1.436478e-03	1.056200e-03
44.6837       	1.423455e-02	1.435270e-03	1.054912e-03
44.6932       	1.564480e-02	1.431224e-03	1.056025e-03
44.7028       	1.451349e-02	1.423480e-03	1.045733e-03
44.7124       	1.537569e-02	1.412147e-03	1.056501e-03
44.722        	1.410188e-02	1.407031e-03	1.060613e-03
44.7316       	1.406197e-02	1.412544e-03	1.064907e-03
44.7412       	1.480195e-02	1.414092e-03	1.075478e-03
44.7508       	1.455346e-02	1.419626e-03	1.077115e-03
44.7603       	1.337962e-02	1.419519e-03	1.077476e-03
44.7699       	1.365481e-02	1.419870e-03	1.072576e-03
44.7799       	1.813934e-02	1.486935e-03	1.118374e-03
44.7899       	1.676102e-02	1.477123e-03	1.254486e-03
44.7999       	1.571107e-02	1.476800e-03	1.147176e-03
44.8099       	1.515846e-02	1.481876e-03	1.217657e-03
44.8199       	1.438581e-02	1.489660e-03	1.163707e-03
44.83         	1.474515e-02	1.481117e-03	1.177107e-03
44.84         	1.377560e-02	1.463142e-03	1.147435e-03
44.85         	1.499474e-02	1.461171e-03	1.164105e-03
44.86         	1.529311e-02	1.456703e-03	1.170980e-03
44.87         	1.439513e-02	1.458461e-03	1.161578e-03
44.88         	1.516036e-02	1.454279e-03	1.175473e-03
44.89         	1.557997e-02	1.449450e-03	1.176589e-03
44.9          	1.591413e-02	1.456819e-03	1.176251e-03
44.91         	1.595886e-02	1.464940e-03	1.167543e-03
44.92         	1.564302e-02	1.469070e-03	1.171916e-03
44.93         	1.589546e-02	1.458446e-03	1.180608e-03
44.94         	1.635060e-02	1.455629e-03	1.181520e-03
44.95         	1.661733e-02	1.458446e-03	1.180574e-03
44.96         	1.644057e-02	1.466615e-03	1.181500e-03
44.97         	1.650847e-02	1.479816e-03	1.177113e-03
44.98         	1.597636e-02	1.486676e-03	1.161707e-03
44.99         	1.767826e-02	1.490802e-03	1.161990e-03
