# Residuals   
# Time        	p             	Ux            	Uy            
5.7           	N/A	N/A
5.70115       	2.748016e-02	1.676310e-04	2.609748e-04
5.7023        	2.835141e-02	2.344407e-04	2.370742e-04
5.70345       	3.934098e-03	1.560346e-04	1.198181e-04
5.7046        	1.706964e-03	1.582441e-04	1.214276e-04
5.70575       	1.452557e-03	1.597899e-04	1.222077e-04
5.7069        	1.446170e-03	1.602818e-04	1.222828e-04
5.70805       	1.406585e-03	1.603764e-04	1.223291e-04
5.7092        	1.464130e-03	1.604102e-04	1.224491e-04
5.71034       	1.454702e-03	1.604676e-04	1.225176e-04
5.71149       	1.477810e-03	1.603968e-04	1.225331e-04
5.71264       	1.439025e-03	1.603533e-04	1.225729e-04
5.71379       	1.582301e-03	1.604494e-04	1.226008e-04
5.71494       	1.439186e-03	1.606472e-04	1.225938e-04
5.71609       	1.465453e-03	1.604397e-04	1.224792e-04
5.71724       	1.423687e-03	1.603937e-04	1.225443e-04
5.71839       	1.503764e-03	1.602963e-04	1.224953e-04
5.71954       	1.550984e-03	1.604026e-04	1.223917e-04
5.72069       	1.684757e-03	1.605085e-04	1.223978e-04
5.72184       	1.702401e-03	1.606468e-04	1.224303e-04
5.72299       	1.553292e-03	1.606112e-04	1.225175e-04
5.72414       	1.499341e-03	1.605629e-04	1.224254e-04
5.72529       	1.502729e-03	1.604274e-04	1.223294e-04
5.72644       	1.552398e-03	1.603697e-04	1.224266e-04
5.72759       	1.541140e-03	1.604180e-04	1.225260e-04
5.72874       	1.531626e-03	1.602778e-04	1.225549e-04
5.72989       	1.534219e-03	1.601960e-04	1.225949e-04
5.73103       	1.483461e-03	1.602196e-04	1.225536e-04
5.73218       	1.527393e-03	1.601632e-04	1.226401e-04
5.73333       	1.570899e-03	1.600873e-04	1.225884e-04
5.73448       	1.558561e-03	1.599910e-04	1.226652e-04
5.73563       	1.667766e-03	1.600093e-04	1.229365e-04
5.73678       	1.769544e-03	1.600135e-04	1.229765e-04
5.73793       	1.647300e-03	1.601256e-04	1.229024e-04
5.73908       	1.578789e-03	1.598128e-04	1.228855e-04
5.74023       	1.541649e-03	1.595872e-04	1.227880e-04
5.74138       	1.530366e-03	1.593253e-04	1.227896e-04
5.74253       	1.728735e-03	1.591562e-04	1.226517e-04
5.74368       	1.517920e-03	1.590798e-04	1.226850e-04
5.74483       	1.619895e-03	1.589257e-04	1.226519e-04
5.74598       	1.752906e-03	1.587086e-04	1.227132e-04
5.74713       	1.588376e-03	1.586451e-04	1.228497e-04
5.74828       	1.534134e-03	1.586572e-04	1.229073e-04
5.74943       	1.574338e-03	1.584988e-04	1.228033e-04
5.75057       	1.533011e-03	1.585445e-04	1.227618e-04
5.75172       	1.538100e-03	1.583665e-04	1.228037e-04
5.75287       	1.518545e-03	1.581747e-04	1.226665e-04
5.75402       	1.444028e-03	1.580055e-04	1.225884e-04
5.75517       	1.576690e-03	1.580617e-04	1.225294e-04
5.75632       	1.517655e-03	1.581454e-04	1.224649e-04
5.75747       	1.440983e-03	1.581549e-04	1.224489e-04
5.75862       	1.484917e-03	1.582474e-04	1.223865e-04
5.75977       	1.532891e-03	1.582229e-04	1.223658e-04
5.76092       	1.335743e-03	1.581774e-04	1.223333e-04
5.76207       	1.424705e-03	1.581639e-04	1.222110e-04
5.76322       	1.552138e-03	1.580000e-04	1.221912e-04
5.76437       	1.600351e-03	1.578607e-04	1.220898e-04
5.76552       	1.537744e-03	1.578448e-04	1.220910e-04
5.76667       	1.617810e-03	1.578834e-04	1.220843e-04
5.76782       	1.454096e-03	1.577290e-04	1.221278e-04
5.76897       	1.438469e-03	1.576147e-04	1.221715e-04
5.77011       	1.699696e-03	1.578004e-04	1.223299e-04
5.77126       	1.524873e-03	1.577972e-04	1.226160e-04
5.77241       	1.606581e-03	1.578038e-04	1.228097e-04
5.77356       	1.582031e-03	1.576218e-04	1.227874e-04
5.77471       	1.592454e-03	1.575616e-04	1.228125e-04
5.77586       	1.758228e-03	1.574225e-04	1.227915e-04
5.77701       	1.742957e-03	1.578658e-04	1.229510e-04
5.77816       	1.581296e-03	1.578790e-04	1.230539e-04
5.77931       	1.829608e-03	1.573580e-04	1.229471e-04
5.78046       	1.669765e-03	1.570483e-04	1.227604e-04
5.78161       	1.558425e-03	1.566860e-04	1.227418e-04
5.78276       	1.513994e-03	1.567065e-04	1.226384e-04
5.78391       	1.517469e-03	1.564933e-04	1.226659e-04
5.78506       	1.612276e-03	1.564989e-04	1.228326e-04
5.78621       	1.545071e-03	1.563882e-04	1.229817e-04
5.78736       	1.531429e-03	1.561918e-04	1.231683e-04
5.78851       	1.532635e-03	1.560148e-04	1.231896e-04
5.78966       	1.539209e-03	1.557877e-04	1.230527e-04
5.7908        	1.483180e-03	1.556256e-04	1.230220e-04
5.79195       	1.520460e-03	1.553907e-04	1.230826e-04
5.7931        	1.568311e-03	1.551944e-04	1.231502e-04
5.79425       	1.567400e-03	1.550568e-04	1.230610e-04
5.7954        	1.446810e-03	1.549271e-04	1.228617e-04
5.79655       	1.479046e-03	1.546195e-04	1.227826e-04
5.7977        	1.504570e-03	1.544239e-04	1.227061e-04
5.79885       	1.545943e-03	1.543086e-04	1.225511e-04
5.8           	1.425067e-03	1.541868e-04	1.225139e-04
5.80115       	1.587214e-03	1.540148e-04	1.226335e-04
5.8023        	1.652299e-03	1.539596e-04	1.223624e-04
5.80345       	1.861894e-03	1.537389e-04	1.223193e-04
5.8046        	1.863243e-03	1.537548e-04	1.225515e-04
5.80575       	1.537981e-03	1.537643e-04	1.225542e-04
5.8069        	1.417573e-03	1.536327e-04	1.223990e-04
5.80805       	1.465063e-03	1.535271e-04	1.221877e-04
5.8092        	1.666405e-03	1.534418e-04	1.224904e-04
5.81034       	1.574499e-03	1.532943e-04	1.226574e-04
5.81149       	1.462227e-03	1.531959e-04	1.226354e-04
5.81264       	1.633794e-03	1.532687e-04	1.226945e-04
5.81379       	1.480094e-03	1.532220e-04	1.227271e-04
5.81494       	1.513155e-03	1.532193e-04	1.225605e-04
5.81609       	1.618563e-03	1.533710e-04	1.225352e-04
5.81724       	1.633654e-03	1.534954e-04	1.224368e-04
